"Gene","logFC","AveExpr","PValue","adj.P.Val","t","B","Regulation","Significance","Biologically_Relevant"
"ANXA2",4.52921584562272,10.9979255092243,2.66998989529812e-130,2.27295111621985e-128,36.1640396325431,287.269348728252,"UPREGULATED","SIGNIFICANT","YES"
"CYBA",2.95983201669572,9.32377278562973,2.81720119446912e-89,3.88938498392194e-88,26.0392407162509,192.878840576178,"UPREGULATED","SIGNIFICANT","YES"
"CMTM7",2.83413551483245,6.7293546419685,2.35998645433022e-92,3.62036297646261e-91,26.757660227465,199.958827952654,"UPREGULATED","SIGNIFICANT","YES"
"CCDC177",-2.73326588823328,5.47333881630015,1.07727783351505e-48,4.44213581752739e-48,-16.8016049792134,99.5441443203574,"DOWNREGULATED","SIGNIFICANT","YES"
"VMP1",2.38573646993812,10.8591024859713,2.07394923925377e-94,3.43058675202453e-93,27.2406255179769,204.690022705662,"UPREGULATED","SIGNIFICANT","YES"
"TGFBR2",1.83591745132949,9.90768148052359,3.37569666313513e-58,1.76622106746203e-57,18.963851438315,121.388587258594,"UPREGULATED","SIGNIFICANT","YES"
"OSBPL10",1.23970232116998,7.91396485427565,2.56503014627839e-20,5.25117030556018e-20,9.73809589111604,34.4881727882959,"UPREGULATED","SIGNIFICANT","YES"
"CUX1",1.17401683964182,11.4237207028784,2.2959167970814e-50,9.86141295119342e-50,17.1844921099916,103.38467371318,"UPREGULATED","SIGNIFICANT","YES"
"ZNF827",1.17091855712662,9.45932764579558,4.89130128844177e-42,1.70949481020006e-41,15.2580503761786,84.2530524019724,"UPREGULATED","SIGNIFICANT","YES"
"CUEDC1",1.00015809363638,10.4986910429192,1.57868763717515e-30,4.17515700385669e-30,12.469787246427,57.8496145975524,"UPREGULATED","SIGNIFICANT","YES"
"RNF217-AS1",-0.949444761944587,2.30008617463396,7.86166221227625e-18,1.51050476010681e-17,-9.005784299781,28.8164477270195,"NO SIGNIFICANT CHANGE","SIGNIFICANT","NO"
"ARHGAP8",-0.681790945589025,4.03783524901351,3.26324183604556e-08,4.73285173139765e-08,-5.63354936931715,7.03222799306394,"NO SIGNIFICANT CHANGE","SIGNIFICANT","NO"
"PTPRN2",-0.647716746187573,11.6463594295658,1.57599346706076e-08,2.3110339447835e-08,-5.76735668802122,7.74078168983146,"NO SIGNIFICANT CHANGE","SIGNIFICANT","NO"
"LIMCH1",-0.520577319450981,11.7862711806332,5.99527921262232e-11,9.48752856912914e-11,-6.7207229048922,13.1890070871859,"NO SIGNIFICANT CHANGE","SIGNIFICANT","NO"
"LINC01572",0.389809156873047,4.66624861822052,8.01734023825059e-05,0.000103129326355738,3.98359551345557,-0.48493545449692,"NO SIGNIFICANT CHANGE","SIGNIFICANT","NO"
"PRR5-ARHGAP8",-0.363170445834581,2.13252764741025,0.0461434386825551,0.0519696217502888,-2.00007932490349,-6.29108538350772,"NO SIGNIFICANT CHANGE","NOT SIGNIFICANT","NO"
"RNF217",-0.316337546211075,8.13508589138061,0.000216846297743414,0.00027413980188679,-3.73153024296952,-1.42522960763361,"NO SIGNIFICANT CHANGE","SIGNIFICANT","NO"
"RGS12",0.21032151493154,11.0219926997356,0.022560803499027,0.0258496376457421,2.28935041584519,-5.67642627983598,"NO SIGNIFICANT CHANGE","SIGNIFICANT","NO"
"ZNF860",0.172899227424802,3.39668391704408,0.262341477199887,0.279842638186361,1.12240098062857,-7.65514783742553,"NO SIGNIFICANT CHANGE","NOT SIGNIFICANT","NO"
