"Gene","logFC","AveExpr","PValue","adj.P.Val","t","B","Regulation","Significance","Biologically_Relevant"
"NACA2",2.89718387212001,2.99719435695538,2.85141368225125e-211,5.07194374007466e-210,43.876440270689,473.149855499932,"UPREGULATED","SIGNIFICANT","YES"
"PMP2",2.57570828952374,14.6563459317585,7.83301493913828e-154,4.82609667138431e-153,33.7653031802277,340.961618669794,"UPREGULATED","SIGNIFICANT","YES"
"HNRNPA1P48",2.50981993213072,9.30912519685039,2.00090062115584e-234,6.9394248597415e-233,48.2350883656469,526.429777163165,"UPREGULATED","SIGNIFICANT","YES"
"GFAP",2.44605122187967,18.7188535433071,1.01423623654286e-92,3.37128130223288e-92,23.5548196629914,200.352094317736,"UPREGULATED","SIGNIFICANT","YES"
"SCRG1",2.14483467156401,12.0860219160105,5.8025186661899e-158,3.77163713302344e-157,34.4667174569318,350.466958267074,"UPREGULATED","SIGNIFICANT","YES"
"AQP4",2.05835047640494,14.7745040682415,2.43597264787685e-63,6.31138367859003e-63,18.4788641454102,132.80798491296,"UPREGULATED","SIGNIFICANT","YES"
"CSNK2A3",1.9799200711307,4.5128062992126,3.91874086817861e-79,1.16378559448812e-78,21.2474654109938,169.108221031072,"UPREGULATED","SIGNIFICANT","YES"
"SCHIP1",1.92559682784968,11.9298297900262,1.80602287110074e-142,9.62779098910541e-142,31.8496673821668,314.812403399613,"UPREGULATED","SIGNIFICANT","YES"
"HEPACAM",1.87689727280492,12.298624015748,1.06307885673421e-94,3.59459084545821e-94,23.8874333862498,204.905054710729,"UPREGULATED","SIGNIFICANT","YES"
"EIF3CL",1.8714137291597,12.1324690288714,7.97495877699173e-168,6.0120898909128e-167,36.1545090548001,373.163044626923,"UPREGULATED","SIGNIFICANT","YES"
"FKBP1C",0.80872994944749,3.91193320209974,1.24340535621807e-28,2.25433538982284e-28,11.5662216924245,53.1870276156711,"NO SIGNIFICANT CHANGE","SIGNIFICANT","NO"
"LINC01114",0.802452243024759,7.27202401574803,9.97463914995562e-31,1.8544734839655e-30,12.0459119805519,57.9828107922879,"NO SIGNIFICANT CHANGE","SIGNIFICANT","NO"
"PPIAL4G",-0.403751738276242,2.52408057742782,9.61973126771586e-08,1.23029701386856e-07,-5.38541702639464,5.7259376990132,"NO SIGNIFICANT CHANGE","SIGNIFICANT","NO"
"SETSIP",0.222114838053378,1.44308385826772,0.00288034534839959,0.00327572703562656,2.98985991133484,-4.07292414557729,"NO SIGNIFICANT CHANGE","SIGNIFICANT","NO"
"C2orf80",0.169331264899787,8.8524717847769,0.0987533250970418,0.105734793648396,1.65293602728137,-7.1558343206319,"NO SIGNIFICANT CHANGE","NOT SIGNIFICANT","NO"
"MT3",-0.114925336822568,13.8481311023622,0.230703250051233,0.242173845615593,-1.19950239853783,-7.80136493567983,"NO SIGNIFICANT CHANGE","NOT SIGNIFICANT","NO"
